Headline,Type of opportunity,Discipline,Minimum Qualification / Applicable for,Countries eligible,Location of opportunity,vector
Asia Pacific Leadership Program Fellowship 2020,60,62,0,70,211,"[ 2.32934871e-01  3.10387169e-01  1.11491585e-01  1.95225676e-03
  1.40517559e-01 -1.17325373e-01 -3.20143325e-01 -3.94381783e-01
  1.08577763e-01 -1.20864456e-01  7.41947908e-02 -8.90874458e-02
 -1.03512092e-01  4.96280709e-02 -2.02629167e-02  6.71682497e-02
  1.59661718e-01  2.02467940e-01 -1.71319610e-01  3.95734534e-02
  1.94236861e-01  6.88300126e-02  1.11267252e-01 -1.47125563e-02
  1.42214152e-02 -9.78756289e-01  9.18047135e-03 -3.88740374e-01
 -1.79865931e-01  9.73368985e-02  2.62891569e+00  4.01906290e-01
 -2.07707251e-01 -5.62617092e-01 -1.65338986e-01 -1.83440178e-01
 -3.28976282e-01  5.49077347e-02 -1.33878954e-01 -6.71502222e-02
 -3.71894665e-01 -2.47055903e-01  2.41445558e-01 -3.68693155e-02
 -6.11271753e-02  1.26777144e-01 -9.39415721e-02  1.99011976e-01
 -2.23802821e-01  1.60020238e-01]"
Application for 2020 Young Professionals Online Fellowship Cohort-3,60,5,6,48,9,"[ 8.47202191e-03  3.88592702e-01 -4.98865681e-02 -5.75856822e-02
  1.20199993e-01  6.41674173e-03 -4.30407605e-01 -5.22295632e-01
  3.62765216e-01  2.67793298e-02  2.54920490e-01  6.31433407e-03
 -5.29034086e-02  2.58449878e-02 -8.24407103e-02 -2.02144066e-01
  4.27990431e-02  3.74202353e-01  1.68090469e-02  2.17415363e-03
  2.55337032e-01  1.83241961e-01 -1.14866915e-01  1.68127385e-01
  2.32001594e-02 -8.18952324e-01 -1.48188355e-01 -6.78792644e-01
 -1.51610369e-01  1.21020430e-01  2.67547442e+00  2.63382908e-01
 -2.65333058e-01 -7.33644063e-01 -1.00077780e-01  1.82706161e-01
 -1.69266528e-01  1.54591398e-01 -5.14444692e-02 -2.12633442e-01
 -2.95741079e-02 -4.42676943e-01 -3.70595694e-02  1.74577594e-01
  8.84868750e-03 -5.51009684e-02  1.61000432e-01  1.72341402e-01
 -1.65270895e-01  3.72245525e-01]"
The University of Tokyo Todai Fellowship 2019,60,0,24,74,102,"[-0.20980795  0.65275578 -0.31191095 -0.33921522 -0.01318272 -0.01117504
 -0.18124543 -0.3190172   0.16033981 -0.01515605  0.14372043  0.04440609
  0.20131468 -0.25043357  0.0777855  -0.05764135  0.02686827  0.19179292
  0.06484673  0.08685806  0.45834223  0.13444003 -0.0666488  -0.02839341
 -0.03715352 -1.03681443 -0.03104073 -0.60385948 -0.71662687 -0.17740704
  2.35579651  0.11130308 -0.3517687  -0.69870492  0.04787858  0.02283439
  0.14557998  0.33994056  0.09894668 -0.17537275  0.04736267 -0.37734763
  0.20406877  0.40509637 -0.32183697 -0.19359027  0.19597843  0.46414106
 -0.20823276  0.1030803 ]"
CADFP Fellowship Program 2019 for African Born Scholars,60,0,24,296,10,"[-0.03558616  0.52233174 -0.14160241 -0.10231298  0.00378349 -0.03376416
 -0.33074429 -0.60895653  0.23800561 -0.07247855  0.11553384  0.11970012
  0.1578185  -0.16979184  0.03776847 -0.10882921  0.17011113  0.29301858
 -0.09964641  0.27816373  0.4028876   0.0728634  -0.07729148 -0.10501512
 -0.12114424 -0.85058927  0.02419753 -0.68463076 -0.70109511  0.00940958
  2.43708488  0.1085245  -0.25297917 -0.45004938 -0.10828743 -0.02204096
 -0.02784219  0.07701584  0.03879385 -0.19137742 -0.0209321  -0.25192434
  0.25153493 -0.04358802 -0.33074716  0.19450817 -0.11675394  0.31111778
 -0.28421286  0.13791745]"
"Chevening Africa Media Freedom Fellowship 2020 in University of Westminster, UK",60,31,24,203,202,"[ 0.01632631  0.29096978 -0.26201499 -0.08195268  0.01504281  0.02095387
 -0.09805448 -0.47003035  0.22664158  0.09162204  0.10548514  0.14379583
 -0.07534768 -0.07556816 -0.07809901  0.03478387  0.30912353  0.16186744
  0.0691069  -0.19026164  0.3288872   0.30551264 -0.04723775 -0.09656175
  0.10715534 -0.92634093 -0.14837206 -0.51255493 -0.13026853  0.20550986
  2.69302152  0.31523397 -0.31432097 -0.68343566 -0.22562065  0.08028957
 -0.21483625  0.12789543 -0.14986152 -0.18713637  0.01338805 -0.27496337
  0.17715615  0.25733174 -0.01150139  0.04589007 -0.00968208  0.45671869
 -0.09739211  0.14341316]"
Fully-funded PhD Program at University of Luxembourg,78,62,24,70,113,"[-0.04792181  0.42311899 -0.02547306 -0.11785459 -0.07712246  0.09062114
 -0.15471455 -0.45796642 -0.02968138 -0.16320262  0.26098537 -0.00299556
 -0.14231081 -0.20895051  0.02958517  0.0079327   0.09402708  0.22776132
 -0.22992927  0.13533385  0.38481545  0.04213298  0.11827159 -0.13005954
 -0.06454903 -0.91380333  0.15045656 -0.5315593  -0.58428228  0.15677983
  2.56314151 -0.03925511 -0.26096658 -0.63223174 -0.02619438 -0.09475143
  0.00997307  0.47230432  0.51271366 -0.03174374  0.02889513 -0.23140397
  0.20973165  0.10687535 -0.28737598 -0.12039312  0.23899913  0.32298559
  0.0049615   0.32316972]"
Palestine Studies Post-doctoral Award 2020/21 at Columbia University,78,31,45,70,211,"[-0.1197034   0.65122333 -0.24957982 -0.29623132  0.14142572  0.04779438
 -0.37453661 -0.30718785  0.26206415 -0.02792525  0.0865666  -0.14433563
 -0.05408074 -0.06325964  0.01953652 -0.06578787  0.24025736  0.11423437
 -0.07187839  0.3272882   0.47540157  0.34138358 -0.04553061 -0.17761753
 -0.02484108 -1.04846764 -0.21840426 -0.654548   -0.59483233 -0.02345192
  2.2565826   0.05343507 -0.33504002 -0.80767701 -0.08240676 -0.02305247
 -0.08172696  0.3580405   0.21841538 -0.00681796 -0.20946362 -0.32901903
  0.09366542  0.14188382 -0.24066872 -0.08066979  0.0545031   0.33957115
 -0.42331771  0.12652111]"
"Fully-funded Scholarships at King Abdullah University, Saudi Arabia",78,8,0,70,163,"[-0.07390112  0.56805976 -0.03656351 -0.23273057  0.0609166   0.02715407
 -0.12776192 -0.4478232   0.20534252  0.0417001   0.14727297 -0.0107056
  0.29238288 -0.25726033  0.23229358  0.0464524  -0.06886366  0.1893437
 -0.21036496  0.07752777  0.31654379  0.0182549   0.09018674  0.08189048
 -0.08505504 -0.97058686 -0.03632897 -0.51251823 -0.47329914  0.08457349
  2.5025591   0.25948438 -0.27049769 -0.17030713  0.21655582  0.05078818
  0.25125205  0.19122838  0.06705436 -0.08930334  0.14550688  0.00637917
  0.07755512  0.36957603 -0.31050397 -0.02597677  0.064986    0.35693257
 -0.07383846  0.05960227]"
"Global Master’s Scholarship at Karolinska Institute, Sweden",78,44,38,70,177,"[-1.27201960e-01  5.92173700e-01 -7.71765627e-02 -4.23752218e-01
 -1.13500710e-01  2.82598214e-02 -1.05376380e-01 -3.28139039e-01
  2.54322757e-01  8.28844772e-02  2.48422141e-01 -7.32733414e-02
  1.99218229e-01 -1.58264725e-01  1.98323558e-01  9.35239298e-02
  1.81752196e-01  2.56142462e-01 -5.83104056e-02  6.27450154e-02
  5.52548800e-01  1.19229390e-03 -6.58420459e-02  6.43054232e-02
  2.11095932e-02 -9.89126727e-01 -1.52857794e-01 -5.42894355e-01
 -6.83261988e-01  6.34675528e-03  2.43175129e+00  2.62446055e-01
 -1.95988494e-01 -3.57645310e-01  8.13573031e-03 -2.42842889e-02
  2.48316609e-01  2.26026437e-01  2.45927317e-01 -1.21109467e-01
 -3.38025554e-02 -2.00354944e-01  1.26003816e-01  1.73723620e-01
 -2.19898253e-01 -1.42302704e-01  1.17733393e-01  2.83934451e-01
 -1.31505101e-01  6.01364222e-02]"
Emerging Global Leader Scholarship at American University,78,62,14,300,211,"[-8.57910370e-03  4.86724516e-01 -1.21922283e-01 -6.04272127e-02
  1.62686118e-01 -6.28888690e-02 -1.83762296e-01 -4.70053152e-01
  2.17324949e-01 -1.97095619e-02  2.36832677e-01 -3.88105508e-02
 -1.16132508e-01 -6.54431274e-02 -1.11061972e-03  2.63281031e-02
  1.74941549e-01  1.83459193e-01  7.01200209e-03 -5.12659760e-02
  1.51044079e-01  2.09373650e-01 -1.65752808e-01  5.77844713e-02
 -8.17620809e-02 -9.51912884e-01 -1.58981903e-02 -4.67088092e-01
 -3.99746403e-01  1.85501156e-01  2.58456483e+00  3.47493165e-01
 -3.49193511e-01 -3.77779450e-01 -1.58111194e-01 -1.38138735e-01
 -1.49665900e-01  4.74872762e-02  8.90648182e-02 -1.73836146e-01
 -3.34160670e-02 -1.55044502e-01  1.86545657e-01 -2.81228147e-02
 -1.06771360e-01  6.77479491e-02 -9.92614769e-03  1.54939962e-01
 -8.36746305e-02  1.35316708e-01]"
Jobs at Eastern Michigan University,69,10,10,70,211,"[-0.17433128  0.31554562 -0.17953543 -0.0439235  -0.0097192  -0.16081967
 -0.36248045 -0.3146792  -0.01744799 -0.52899114  0.04697907 -0.06793137
 -0.04071044 -0.15758731  0.02447392 -0.07039532 -0.19080751  0.27089205
 -0.07909995 -0.06019009  0.45094479  0.01542551  0.11443572  0.16480825
 -0.22641825 -0.98958244  0.0233374  -0.50871052 -0.44923093 -0.09336206
  2.62347816  0.0863583  -0.26579194 -0.69874875  0.13934316  0.12314222
  0.04338383  0.24591585  0.19683975  0.12386166 -0.19093751 -0.20894312
  0.11997358  0.19833348 -0.25371297  0.04944678  0.11787387  0.17853005
 -0.17348702  0.29309358]"
PhD Fellowship in Organismal Biology at Max Plank Institute,78,74,24,70,81,"[-0.19824813  0.54482261 -0.13774303 -0.37849854  0.0813462   0.15672483
 -0.35848442 -0.40929504  0.10895487 -0.04317536  0.1543103  -0.02201683
 -0.06510471 -0.05312966  0.07944489 -0.12671561  0.15223412  0.29943084
 -0.08809945  0.10038402  0.42136944  0.1089757   0.04268914  0.00636516
  0.04237688 -1.00978356 -0.10868356 -0.59834226 -0.52476913  0.05181453
  2.20748016  0.10989968 -0.38383297 -0.73366519 -0.0363179  -0.02127402
 -0.03770432  0.52452119  0.25919301 -0.14026439 -0.10178531 -0.39049845
  0.02157876  0.24819957 -0.21352146 -0.06478633  0.19211051  0.18016854
 -0.18633299  0.18848657]"
Fully Funded Hansen Leadership Institute 2020 in USA,75,62,14,70,211,"[ 7.62321997e-02  4.52952460e-01 -3.76905521e-02 -9.52649606e-02
  1.90152017e-02 -1.86219853e-01 -3.79736662e-01 -2.81434534e-01
  6.10136655e-02 -6.91393981e-02  1.68906228e-01 -1.01656128e-01
 -1.62882758e-01 -6.67600153e-03  1.72135726e-01  6.88577563e-02
  1.71087312e-01  2.75812128e-01 -1.33398044e-01  1.83262901e-03
  2.92992101e-01  1.88814834e-01  4.90401435e-03 -7.66256849e-02
  4.15946556e-02 -9.95044635e-01  7.47529884e-02 -4.88281847e-01
 -3.01147578e-01  7.49370216e-02  2.62826685e+00  3.24609211e-01
 -5.28826140e-01 -5.88523363e-01 -1.29310275e-01 -8.76747797e-02
 -3.39361613e-02  2.78158101e-01  1.34389197e-01 -1.04537220e-01
 -2.65007438e-01 -3.57191116e-01  1.59978097e-01 -1.84762979e-02
 -1.16388405e-01  9.19315866e-02  4.39904101e-03  2.06821543e-01
 -2.26354157e-01  2.31230656e-01]"
Fully Funded Scholarship at King Abdullah University of Science and Technology (KAUST),78,69,14,70,163,"[-2.82412469e-01  1.15439653e-01 -1.61760133e-01 -9.90528806e-02
 -7.61154726e-02  6.28981271e-02  5.20250969e-02 -3.08071644e-01
  2.68736769e-01  1.11972886e-01  3.07589617e-01 -5.10964545e-02
  3.18605496e-01 -1.05749735e-01  7.23112231e-02  4.19236607e-02
  1.24928168e-03  6.80909579e-02 -3.14367368e-01 -1.65021229e-02
  1.78275807e-01  1.05409517e-01  4.34023101e-02  2.97618856e-01
  4.29167061e-02 -8.91454356e-01  1.95710580e-01 -5.24529889e-01
 -6.57099540e-01  2.79288564e-02  2.28155394e+00  8.53061738e-02
 -2.79122144e-01 -3.16507293e-01  2.91698036e-01 -2.37401138e-02
  5.30993564e-01  1.22054814e-01 -3.62844493e-02 -2.18932580e-01
  2.75465724e-01 -1.31196183e-01  2.69086955e-01  5.25679257e-01
 -3.07616080e-01  3.19972568e-01  1.30625557e-01  6.98876297e-01
  1.82171128e-01 -6.19290854e-02]"
Engineering Jobs at the UN Office in Geneva,69,10,38,70,180,"[ 0.29415198  0.25772383 -0.13000095 -0.02430228 -0.04791542 -0.16174569
 -0.27797478 -0.29256133  0.13007646 -0.35536191  0.05343785  0.07406704
 -0.36652061 -0.04427379  0.15205688 -0.00965783  0.17003754  0.15094732
  0.18017781 -0.18252364  0.5009713  -0.00574931 -0.32934547 -0.24751369
 -0.23422906 -0.76230619 -0.10925069 -0.25898435 -0.24609484  0.27929382
  2.39268765 -0.05203632 -0.46457811 -0.41714365 -0.00439139  0.08134508
  0.1923617   0.20591301  0.06191231 -0.00536424 -0.10311151 -0.33257217
  0.21103539 -0.18078022 -0.32376269 -0.02949774 -0.17031676  0.48100939
  0.02255691  0.26168461]"
Vacancy For Biology Professor At Minnesota State University,69,74,24,70,211,"[-0.10579687  0.32320832 -0.16899981  0.06597025  0.04653734  0.1291483
 -0.34159615 -0.33311733  0.25058552 -0.12231726  0.38991744  0.07734834
  0.23768979 -0.13844723 -0.10637865  0.07023085  0.07530558  0.19570723
 -0.07168808  0.10011437  0.21518711  0.02187143  0.18859981 -0.24702133
  0.01295253 -0.88259467 -0.01365988 -0.42587084 -0.18585264  0.30932665
  2.15656188 -0.16108806 -0.27623347 -1.05194014  0.02551593  0.01656751
 -0.26867817  0.44058476  0.52193891  0.11178099 -0.24619047 -0.30321585
  0.17324529  0.24639789 -0.07630247  0.06315766  0.05883193  0.4562175
  0.03789009  0.26778271]"
Fully Funded Hansen Leadership Institute Program 2020 in United States,34,62,14,70,211,"[ 2.14889598e-01  3.08287455e-01 -1.60706229e-01 -1.01915528e-01
  1.72497795e-01 -5.86536490e-02 -3.23538257e-01 -1.04267282e-01
  1.41150109e-02 -3.97073838e-02  5.91044523e-02 -2.92627468e-02
 -2.00067372e-01  3.09113276e-02  3.62422368e-02  4.99589998e-02
  2.79682396e-01  1.47908911e-01  2.36211654e-01 -2.77797765e-01
  2.74810635e-01  2.99229917e-01 -1.10148256e-01 -4.56053277e-02
  1.37868286e-01 -1.11651327e+00 -3.97689903e-02 -5.33613062e-01
 -1.71094111e-01  1.21295210e-01  2.88913272e+00  5.14839140e-01
 -5.59191593e-01 -7.26661298e-01 -7.19561739e-02  9.84898578e-02
 -2.27831910e-01  2.97413784e-01 -1.29888419e-01 -1.32321649e-01
 -2.80247742e-01 -2.75785982e-01 -1.34080134e-03  1.86896674e-01
  6.12115612e-02 -3.05451227e-02 -3.44410690e-02  4.65353548e-01
 -2.25963272e-01  1.34083766e-01]"
Volleyball Coach Job at Houston Baptist University,69,0,14,70,211,"[-0.29466512  0.30086269 -0.34894973  0.02371324  0.12392826 -0.18987755
 -0.4415785   0.02964569  0.03480981 -0.1890776   0.18490965  0.10224611
 -0.30620093 -0.11503653  0.0358327  -0.06524572  0.00367114  0.25031078
 -0.05751815 -0.18143426 -0.00772416  0.24144757 -0.09635264  0.02910001
 -0.10829483 -1.08001746  0.07618792 -0.42663861 -0.36046266 -0.17100941
  2.28016173  0.41156334 -0.19133902 -0.81609113  0.19571613  0.22599617
  0.02123049  0.33909302  0.120116   -0.06301035 -0.3141204  -0.13989534
 -0.16838422  0.24815859  0.06372193  0.02645257  0.02058607  0.33674258
 -0.22166963  0.35455823]"
Job Opportunity For Marketing Associate at Boston,69,62,14,70,211,"[ 0.16481912  0.14544167 -0.01111572  0.03061499  0.11904136  0.06817594
 -0.36689612 -0.35393824  0.36391497 -0.03476026  0.01897542  0.20264919
 -0.27871438 -0.10737396 -0.02096914  0.00553132  0.03744333  0.01593941
  0.14511799 -0.22444879  0.41174354  0.05562941 -0.03914894 -0.09715211
 -0.11754146 -1.07102789 -0.16938257 -0.33474564 -0.02328845  0.11332379
  2.67323243  0.25027121 -0.11752944 -0.84118261 -0.03578792  0.05963382
 -0.13279632  0.2647941   0.04135364 -0.18542593 -0.05441473 -0.19000787
 -0.03892125  0.22820483 -0.18045281 -0.02881267 -0.01316369  0.63061874
  0.05305618  0.47817821]"
Kellogg-Morgan Stanley Sustainable Investing Challenge 2020,23,31,14,70,211,"[ 2.50619723e-03  2.72235668e-01  1.41679358e-01 -2.88157230e-02
  4.57023146e-02 -2.03144326e-01 -3.61949448e-01 -3.46581789e-01
  1.18308033e-01  7.37229320e-02  8.29290010e-03  3.28715697e-02
 -1.73342023e-01  2.00673286e-02  2.02680193e-01  1.84265653e-01
  4.15393423e-01  1.56461567e-01  1.87613525e-02 -3.24092316e-01
  3.52177658e-01  4.34256674e-02 -1.39460341e-01  3.87341448e-02
  1.64572179e-01 -9.99946899e-01 -6.50233435e-02 -4.62318292e-01
 -1.18505140e-01  9.21491531e-02  2.54647655e+00  4.53998220e-01
 -2.29090138e-01 -5.46761845e-01 -1.08352449e-01 -1.86890440e-01
 -2.57352626e-01  3.01938862e-01  4.05386026e-02 -3.41133750e-01
 -3.75814166e-01 -3.68459863e-01  3.43574691e-01  1.97315004e-01
  5.36209319e-02  7.15051258e-02  4.95942273e-03  2.65199134e-01
  1.26354860e-01  3.23265826e-01]"
Global Center on Adaptation Young Leaders Program 2020,69,62,14,70,129,"[ 1.98854953e-01  2.58813987e-01 -1.43332237e-01 -1.18820812e-01
  6.20191659e-02  3.58332487e-03 -4.16448279e-01 -3.14171848e-01
  1.92621120e-01 -4.00302759e-02  1.00609570e-01  7.52541222e-04
 -1.58233973e-01  1.85949578e-01  1.05341151e-01 -3.99507273e-02
  3.11107074e-01  9.17943785e-02 -5.12676950e-03 -1.44595957e-01
  2.24861305e-01  1.91651938e-01 -4.33689051e-02  4.73516547e-02
  2.37706336e-02 -9.85140689e-01 -1.32514534e-01 -4.00472523e-01
 -1.88116749e-01  1.54699729e-01  2.58885016e+00  2.66702844e-01
 -1.92620236e-01 -8.27935857e-01 -1.65716461e-01  1.02789425e-01
 -2.28634835e-01  2.32258004e-01 -1.14145874e-01 -2.12720497e-01
 -2.36309786e-01 -2.20976461e-01  2.40155404e-01  6.43864962e-02
  1.22866635e-01  5.38568870e-02 -3.00808324e-02  3.33225912e-01
 -1.74650571e-01  2.08039444e-01]"
Fully Funded Young Leaders Program in Netherlands,69,22,14,70,129,"[ 0.25229285  0.26565073 -0.24571004 -0.13568692  0.00628341 -0.04436196
 -0.44858184 -0.34777277  0.18980128 -0.04193596  0.08405384 -0.00980765
 -0.2037491   0.24100136  0.08983061  0.00393095  0.40510038  0.05819428
 -0.04368234 -0.09662171  0.245939    0.20568046 -0.07320862  0.10796806
  0.01856802 -1.03513264 -0.1242754  -0.37340707 -0.20194415  0.13887227
  2.68522928  0.30048676 -0.24133235 -0.86177427 -0.24451987  0.07715579
 -0.26419844  0.22105113 -0.11415459 -0.2036202  -0.27633767 -0.21474435
  0.24728748  0.01040897  0.19426775  0.14928919 -0.00732726  0.29587973
 -0.15537944  0.18998341]"
Applications for WISE Awards in Qatar 2020,23,0,0,70,157,"[ 3.97213664e-02  4.52521642e-01  6.42728721e-02 -2.27634383e-02
  1.30066664e-01 -1.60585289e-02 -3.40577819e-01 -5.25561933e-01
  2.50443808e-01  2.76699548e-01  6.96938236e-02 -1.13824664e-02
  4.53064079e-02 -7.56884291e-02  2.65605678e-01 -1.51010772e-01
  2.68597744e-01  1.53063312e-01 -1.92611872e-01 -1.96559373e-01
  3.71120160e-01  7.76257982e-04  4.94526133e-02 -1.69794604e-01
  7.02691096e-02 -8.08945161e-01 -2.71837081e-01 -5.92242242e-01
 -3.06559520e-01  4.15529635e-02  2.74350935e+00  3.89085502e-01
 -1.91435421e-01 -4.55910300e-01 -4.28588430e-03 -4.31156969e-02
  5.90361978e-03  2.99114144e-01 -2.24472717e-01 -2.65137403e-01
 -1.77659245e-01 -2.01180542e-01  2.03022567e-01 -5.81534003e-02
 -2.46829518e-01  7.31350747e-02 -1.56652919e-01  2.77511566e-01
 -1.24796097e-01  1.99362351e-01]"
Ocean Fellowship Program in Italy,78,17,10,70,98,"[ 0.23313515  0.49255813 -0.45640844  0.02079657  0.04924753  0.0514875
 -0.14621088 -0.50296535  0.1957068  -0.00634485  0.27397799  0.11091396
  0.05129974  0.12719475 -0.07972327 -0.11291174  0.17412929  0.1501932
 -0.26942404  0.10764946  0.16192694  0.17415703 -0.07277126 -0.16892
  0.25116026 -0.83221583 -0.34221074 -0.39017272 -0.29434399  0.22545845
  2.30991287 -0.16980605 -0.25817569 -0.8982369  -0.24475335  0.10352565
 -0.3158742   0.29921629  0.09980809  0.01589606 -0.04437745 -0.23912921
  0.28322303  0.14394933 -0.21154115  0.14936803  0.3293979   0.24770659
 -0.14678369 -0.02274577]"
Green Building Summer School 2020 in South Africa,31,8,14,70,172,"[ 2.73136874e-01  3.50297429e-01 -7.89837112e-02  6.62685846e-03
 -2.83137811e-02  6.32325330e-02 -3.27538255e-01 -7.32405574e-01
  3.28367839e-01  1.02308808e-01  1.89751327e-01  2.55483324e-02
 -3.49405212e-02 -1.03966734e-01 -2.13930083e-01  2.06725839e-01
  4.03995161e-01  3.51372395e-01  2.16967469e-02 -2.31842430e-01
  4.25033605e-01  3.16188913e-02 -2.67150578e-01 -2.79584267e-01
  1.06368800e-01 -9.00199964e-01 -3.39060470e-02 -2.44065446e-01
 -8.52714014e-02  1.90884585e-01  2.76664636e+00  6.53805596e-05
 -3.64957359e-01 -7.68714445e-01 -5.05364195e-02 -4.01572583e-02
 -1.25418607e-01  3.13135629e-01  2.74293206e-02  2.36588270e-02
 -2.44683689e-01 -4.26108369e-01  1.87431493e-01  3.19842553e-02
 -3.99565543e-02  1.13425224e-01 -2.76953186e-02  2.83674431e-01
  6.14036760e-02  1.42778287e-01]"
Professor Jobs at California State University Stanislaus,1,31,24,70,211,"[-0.19466729  0.47906884 -0.25447937 -0.01986972  0.12386384  0.09415054
 -0.13201892 -0.46770423 -0.23748558 -0.19662208  0.03261265  0.06047246
 -0.12581575 -0.10526975  0.02039802 -0.02873492  0.15895287  0.17395078
 -0.07876844  0.04443437  0.08886939  0.088884    0.06659379  0.0483206
  0.13077539 -1.29289909 -0.26543153 -0.49410638 -0.37392584  0.13489889
  2.7073258  -0.17173557 -0.34440673 -0.8551133  -0.13944532 -0.01573789
 -0.2592376   0.27235982  0.2268338   0.13603172 -0.11515286  0.03330421
  0.11060867  0.25089131 -0.15274435  0.18699755  0.09875669  0.22280052
 -0.04671225  0.14735913]"
Scholarships for Master’s study at University of Oxford,78,31,38,48,202,"[ 0.13034421  0.37017365 -0.27947821 -0.19584158  0.18359926 -0.03112435
 -0.32558092 -0.26210273  0.00921639  0.03331135  0.13949216  0.23711475
 -0.06456432 -0.26033662 -0.09469161  0.04948442  0.16999725  0.07021905
  0.10348486 -0.12144908  0.30389309  0.2330651  -0.0261513   0.04581982
  0.02978867 -0.91457003 -0.15102732 -0.53298259 -0.41362267  0.05917555
  2.48240236  0.24444008 -0.15932294 -0.58809062  0.07950338 -0.0468318
 -0.20565034  0.21984681  0.03298342 -0.11603532 -0.0457052  -0.2733804
  0.13960655  0.16747656 -0.04584232  0.18239659 -0.08666777  0.26243971
 -0.0947388   0.01461921]"
Harvard GSD Wheelwright Prize 2020,23,10,14,70,211,"[ 1.13474781e-01  4.48800869e-01 -7.10770783e-02  2.75008247e-03
  1.72521909e-01  4.56956288e-02 -2.44986937e-01 -3.93514507e-01
  1.25294826e-01  1.54084275e-01 -9.51020807e-03 -2.59850170e-02
 -2.78811074e-02 -7.44162856e-02  1.53605552e-01 -1.07263918e-01
  3.20941291e-01  1.28691677e-01 -1.43079416e-01 -2.60640241e-01
  3.59587543e-01 -3.55544209e-02 -2.48215739e-01 -2.33328961e-01
  1.17901921e-01 -7.97126639e-01 -3.75965563e-01 -5.07665137e-01
 -2.82186825e-01  9.09580801e-02  2.37201439e+00  7.21741782e-02
 -1.60771311e-01 -5.87183071e-01 -1.13351268e-01  4.52498995e-04
 -5.04071531e-02  4.25784475e-01 -7.75656600e-02 -3.06389877e-01
  1.51527906e-02 -2.94984352e-01  1.50537437e-01  1.56580971e-01
 -8.73693525e-02  2.03815818e-02  4.54278069e-02  2.68293014e-01
 -1.49966270e-01  1.79274722e-01]"
